Nombre,Provincia,Región,Latitud,Longitud,Latitud_dec,Longitud_dec
Santiago,Santiago, Metropolitana de Santiago,"-33°26'14""","-70°39'26""",-33.43722222,-70.65722222
Cerrillos,Santiago, Metropolitana de Santiago,"-33°30'0""","-70°43'0""",-33.5,-70.71666667
Cerro Navia,Santiago, Metropolitana de Santiago,"-33°25'19.2""","-70°44'6""",-33.422,-70.735
Conchalí,Santiago, Metropolitana de Santiago,"-33°22'48""","-70°40'30""",-33.38,-70.675
El Bosque,Santiago, Metropolitana de Santiago,"-33°34'1.2""","-70°40'30""",-33.567,-70.675
Estación Central,Santiago, Metropolitana de Santiago,"-33°27'32.4""","-70°41'56.4""",-33.459,-70.699
Huechuraba,Santiago, Metropolitana de Santiago,"-33°22'4.8""","-70°38'2.4""",-33.368,-70.634
Independencia,Santiago, Metropolitana de Santiago,"-33°24'46.8""","-70°39'57.6""",-33.413,-70.666
La Cisterna,Santiago, Metropolitana de Santiago,"-33°31'44.4""","-70°39'46.8""",-33.529,-70.663
La Florida,Santiago, Metropolitana de Santiago,"-33°31'30""","-70°32'16.8""",-33.525,-70.538
La Granja,Santiago, Metropolitana de Santiago,"-33°31'60""","-70°37'30""",-33.53333333,-70.625
La Pintana,Santiago, Metropolitana de Santiago,"-33°34'58.8""","-70°38'2.4""",-33.583,-70.634
La Reina,Santiago, Metropolitana de Santiago,"-33°26'34.8""","-70°31'55.2""",-33.443,-70.532
Las Condes,Santiago, Metropolitana de Santiago,"-33°25'0""","-70°35'0""",-33.41666667,-70.58333333
Lo Barnechea,Santiago, Metropolitana de Santiago,"-33°21'0""","-70°31'0""",-33.35,-70.51666667
Lo Espejo,Santiago, Metropolitana de Santiago,"-33°31'19.2""","-70°41'13.2""",-33.522,-70.687
Lo Prado,Santiago, Metropolitana de Santiago,"-33°26'42""","-70°43'33.6""",-33.445,-70.726
Macul,Santiago, Metropolitana de Santiago,"-33°29'13.2""","-70°36'14.4""",-33.487,-70.604
Maipú,Santiago, Metropolitana de Santiago,"-33°31'0""","-70°46'0""",-33.51666667,-70.76666667
Ñuñoa,Santiago, Metropolitana de Santiago,"-33°27'14.4""","-70°36'14.4""",-33.454,-70.604
Pedro Aguirre Cerda,Santiago, Metropolitana de Santiago,"-33°27'58.8""","-70°38'1.2""",-33.46633333,-70.63366667
Peñalolén,Santiago, Metropolitana de Santiago,"-33°29'10.28""","-70°32'0""",-33.48618889,-70.53333333
Providencia,Santiago, Metropolitana de Santiago,"-33°26'6""","-70°36'57.6""",-33.435,-70.616
Pudahuel,Santiago, Metropolitana de Santiago,"-33°26'0""","-70°43'0""",-33.43333333,-70.71666667
Quilicura,Santiago, Metropolitana de Santiago,"-33°21'39.6""","-70°43'44.4""",-33.361,-70.729
Quinta Normal,Santiago, Metropolitana de Santiago,"-33°25'37.2""","-70°41'56.4""",-33.427,-70.699
Recoleta,Santiago, Metropolitana de Santiago,"-33°24'21.6""","-70°38'24""",-33.406,-70.64
Renca,Santiago, Metropolitana de Santiago,"-33°23'52.8""","-70°43'22.8""",-33.398,-70.723
San Joaquín,Santiago, Metropolitana de Santiago,"-33°29'27.6""","-70°37'40.8""",-33.491,-70.628
San Miguel,Santiago, Metropolitana de Santiago,"-33°29'9""","-70°38'58""",-33.48583333,-70.64944444
San Ramón,Santiago, Metropolitana de Santiago,"-33°31'60""","-70°38'30""",-33.53333333,-70.64166667
Vitacura,Santiago, Metropolitana de Santiago,"-33°24'0""","-70°36'0""",-33.4,-70.6
